simulation_id,sampling_method,random_seed,model_version,parameter_set,topology,timestamp,feed_flow_m3h,feed_tds_mgL,feed_cod_mgL,feed_pH,temperature_C,stage1_pressure_bar,stage2_pressure_bar,feasible,failure_reason,failure_message,quality_flag,overall_recovery_pct,permeate_flow_m3h,concentrate_flow_m3h,permeate_tds_mgL,concentrate_tds_mgL,overall_tds_rejection_pct,stage1_recovery_pct,stage2_recovery_pct,average_flux_LMH,minimum_flux_LMH,maximum_flux_LMH,maximum_element_recovery_pct,maximum_polarization_modulus,feed_osmotic_pressure_bar,final_concentrate_osmotic_pressure_bar,stage1_pump_power_kW,stage2_booster_power_kW,total_power_kW,SEC_kWh_m3,water_balance_error,solute_balance_error,flux_decline_stage1_pct,flux_decline_stage2_pct,max_element_concentrate_tds_mgL,max_element_osmotic_pressure_bar,dataset_split
SIM_00233,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,30.2344,1731.68,30.32,9.15,28.32,12.073,20.749,1,NONE,,PASS,74.57620753781785,22.547668891814002,7.686731108185994,6.032927773416685,6793.561085869745,99.6516141681248,35.05937044784533,60.850714510299056,40.626430435700904,30.15216774708589,59.08320561747283,31.501081828455014,1.3879371198970432,1.4854000072762135,5.827379011354477,11.610586993055556,6.221653574104712,17.83224056716027,0.7908684774785883,0.0,1.2490009027033011e-14,9.80741347536252,19.148575630226446,6793.561085869745,5.827379011354477,train
SIM_00234,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,31.2686,1876.31,83.23,8.79,26.92,14.109,22.972,1,NONE,,PASS,80.51913945952067,25.17720764103968,6.091392358960315,6.7943037401297195,9603.473528331873,99.63789012795702,40.467427797113054,67.27697154746049,45.36433809196339,35.85933631508364,64.08517972603158,36.55463659187006,1.4270380942897636,1.601986496988514,8.199409967742165,14.21825584895833,6.019496959457308,20.23775280841564,0.803812444054655,0.0,2.4980018054066022e-14,10.35223621318663,25.99350618673546,9603.473528331873,8.199409967742165,train
SIM_00235,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,32.515,1548.68,86.58,6.89,25.09,15.084,18.55,1,NONE,,PASS,75.82750400074096,24.65531292584092,7.859687074159086,5.399978319604963,6389.846258619744,99.65131735932505,43.87930243136809,56.92766297194062,44.42398725376742,40.734251693747986,51.37449557640014,28.156106777734063,1.3297644702437919,1.3141933344905978,5.4223554004040535,15.885779036458334,2.4811728157413073,18.36695185219964,0.744949046375699,6.2450045135165055e-15,6.2450045135165055e-15,9.071019226288398,18.976927217505914,6389.846258619744,5.4223554004040535,train
SIM_00236,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,33.8861,2121.51,66.37,9.3,20.17,13.615,22.805,1,NONE,,PASS,73.11939325419196,24.77731071750874,9.108789282491259,6.774173797866555,7873.917375585604,99.68069093250249,35.124090352711356,58.566119701519334,44.64380309461034,33.825440888202614,63.75313670529558,29.48111549963074,1.4244086851555915,1.7705917617427949,6.571495414989946,14.827227801215276,7.358505089134111,22.185732890349385,0.8954052012865128,6.2450045135165055e-15,0.0,9.949354606400867,19.282842998784766,7873.917375585604,6.571495414989946,train
SIM_00237,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,30.247,1570.76,38.14,8.56,30.78,14.066,20.185,1,NONE,,PASS,79.91617307034043,24.17224486858587,6.074755131414127,5.881015724227339,7797.618067415198,99.62559425219465,42.998182473480874,64.76633938853634,43.553594357812386,36.98517850827935,56.452530116164716,34.45328359773625,1.367804564581455,1.3583606214822406,6.743218139076153,13.708560043402779,3.9325819722104334,17.641142015613212,0.7298098340274367,0.0,1.2490009027033011e-14,9.74732166369155,23.564814420269546,7797.618067415198,6.743218139076153,train
SIM_00238,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,38.7359,1743.55,57.11,6.94,24.04,16.856,21.379,1,NONE,,PASS,73.35256131270641,28.413774797528642,10.322125202471353,5.230500709707498,6528.6323168819445,99.70000856243254,41.51051989174986,54.44062994238366,51.19599062617774,46.11287474429808,60.2170866537044,26.518541124363015,1.3967058309460232,1.4743489262759537,5.520622893777286,21.30844374045139,3.912166982988763,25.220610723440153,0.8876191531451773,6.2450045135165055e-15,1.2490009027033011e-14,8.339207068791753,16.403225500692,6528.6323168819445,5.520622893777286,train
SIM_00239,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,38.6806,2860.73,78.35,8.26,29.92,17.163,26.702,1,NONE,,PASS,73.55050249749911,28.449775669047643,10.23082433095234,8.45566253473382,10792.306422631698,99.70442290832293,37.86091768814672,57.43500464046036,51.2608570613471,41.2346486639077,69.89101422827389,27.93017159833664,1.4738061124688009,2.4668997388604073,9.306553885089341,21.690347911458332,8.336573099256494,30.026921010714826,1.0554361257541676,1.8735013540549517e-14,7.494005416219807e-14,11.43612059363598,23.338434970124144,10792.306422631698,9.306553885089341,val
SIM_00240,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,30.3795,1877.47,47.68,7.37,21.37,15.8,20.393,1,NONE,,PASS,81.53772344510858,24.770752694006763,5.608747305993232,7.347902652609465,10136.770955043838,99.6086274266641,47.67043410185267,64.71922470974475,44.63198683604822,37.8759943229885,53.744931304892795,33.321048088666636,1.347388193333217,1.573328745912944,8.494662036839939,15.5977108203125,2.7837115680706765,18.381422388383175,0.7420615197062835,6.2450045135165055e-15,1.2490009027033011e-14,11.309128768280873,29.526388064170124,10136.770955043838,8.494662036839939,train
SIM_00241,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,28.941,2170.25,56.4,7.38,24.43,17.394,27.753,1,NONE,,PASS,91.50045399327821,26.48114639019465,2.459853609805348,11.669569171818559,25408.089908812224,99.4622937831209,53.714725804121535,81.63660871759808,47.713777279629994,25.800254290409377,69.94903272596048,46.843047212999544,1.4742811230270896,1.8375754666499895,21.513319972754527,16.460947421874998,5.027469021012515,21.488416442887512,0.8114609589124198,0.0,0.0,14.372115496412242,63.115638222636896,25408.089908812224,21.513319972754527,val
SIM_00242,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,34.142,2122.03,70.29,6.91,20.37,14.566,19.738,1,NONE,,PASS,69.47037866919574,23.718576685236812,10.423423314763193,6.823022404785432,6935.1990892935655,99.67846720334842,37.889522789317546,50.84626185169054,42.736174207633894,36.72529857632154,53.02737336229866,23.660527873761993,1.3420287845932766,1.7722333211675338,5.7919967743042235,16.066596892361108,4.13954089669315,20.20613778905426,0.8519119025228523,6.2450045135165055e-15,0.0,10.088652597587124,17.670814754521142,6935.1990892935655,5.7919967743042235,train
