simulation_id,sampling_method,random_seed,model_version,parameter_set,topology,timestamp,feed_flow_m3h,feed_tds_mgL,feed_cod_mgL,feed_pH,temperature_C,stage1_pressure_bar,stage2_pressure_bar,feasible,failure_reason,failure_message,quality_flag,overall_recovery_pct,permeate_flow_m3h,concentrate_flow_m3h,permeate_tds_mgL,concentrate_tds_mgL,overall_tds_rejection_pct,stage1_recovery_pct,stage2_recovery_pct,average_flux_LMH,minimum_flux_LMH,maximum_flux_LMH,maximum_element_recovery_pct,maximum_polarization_modulus,feed_osmotic_pressure_bar,final_concentrate_osmotic_pressure_bar,stage1_pump_power_kW,stage2_booster_power_kW,total_power_kW,SEC_kWh_m3,water_balance_error,solute_balance_error,flux_decline_stage1_pct,flux_decline_stage2_pct,max_element_concentrate_tds_mgL,max_element_osmotic_pressure_bar,dataset_split,operating_classification
SIM_04416,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,27.836,2547.25,80.09,6.96,23.14,15.679,22.994,1,NONE,,PASS,83.36185182571893,23.20460507420712,4.631394925792878,10.953950688123872,15254.814161239889,99.56996954801753,47.41400304137368,68.3601165014107,41.81009923280562,32.621083999692104,56.14767850427972,34.26314454562366,1.365490495832656,2.147436074785029,12.860433111782536,14.174854756944445,3.946625449672778,18.12148020661722,0.7809432717628967,0.0,1.2490009027033011e-14,15.062563462118844,41.901277365892085,15254.814161239889,12.860433111782536,boundary_stress,BOUNDARY_STRESS
SIM_04418,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,23.9003,2744.88,77.74,7.62,33.83,18.907,22.594,1,NONE,,PASS,87.69403812322332,20.959138193564748,2.941161806435257,17.299194616935434,22182.009541480973,99.36976499457406,64.14642991884266,65.67716450852404,37.76421296137792,10.806895663267856,51.99602910369401,34.832179967609214,1.3343630321565785,2.3975359295077694,19.375041846778288,14.849513650173613,1.2309170632434725,16.080430713417083,0.7672276677079398,6.2450045135165055e-15,0.0,24.692407516456598,73.20731341657527,22182.009541480973,19.375041846778288,boundary_stress,BOUNDARY_STRESS
SIM_04422,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,21.5309,1542.33,34.47,8.9,23.99,11.904,17.531,1,NONE,,PASS,86.63530979004301,18.65336191558437,2.877538084415629,8.564797032395878,11484.814368645471,99.44468453363444,48.49464461030001,74.05184352415972,33.609661109161024,26.49361350320415,45.92777496021516,40.52296120963022,1.2901374967834105,1.3039775213063998,9.709945195315171,8.141932263020832,2.339975555798706,10.481907818819538,0.5619312950799605,0.0,6.2450045135165055e-15,13.205853332893804,42.31461566306187,11484.814368645471,9.709945195315171,boundary_stress,BOUNDARY_STRESS
SIM_04425,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,23.5544,1613.89,26.71,7.29,32.48,17.273,20.608,1,NONE,,PASS,92.48613964304334,21.784555276081,1.769844723919002,12.62118954367694,21323.48849856675,99.2179646974901,67.07238359108504,77.18067331796803,39.2514509478937,9.337883167332372,51.63734900158462,44.85580086415019,1.3317073163088633,1.4034650166844915,18.543252725658224,13.298217201388889,1.019308711271188,14.317525912660075,0.6572328758246642,3.1225022567582528e-15,1.2490009027033011e-14,17.79283818444864,79.01811605567082,21323.48849856675,18.543252725658224,boundary_stress,BOUNDARY_STRESS
SIM_04426,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,27.102,2770.14,80.08,8.15,24.02,14.68,24.162,1,NONE,,PASS,82.70934607122962,22.41588697222465,4.686113027775352,11.782373957331703,15964.664418822984,99.57466503652049,43.6571190700836,69.31173265655721,40.38898553553992,32.429894589875865,59.45353640851533,35.18787437128408,1.3907949516844105,2.342277585002566,13.498839632761197,12.860981197916669,5.266045578477948,18.12702677639461,0.8086687267318786,6.2450045135165055e-15,4.9960036108132044e-14,15.57886720816945,42.17174133193146,15964.664418822984,13.498839632761197,boundary_stress,BOUNDARY_STRESS
SIM_04428,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,28.305,2754.18,35.03,8.08,32.93,11.732,26.993,1,NONE,,PASS,79.42039201426768,22.479941959638467,5.825058040361543,10.191965626227196,13343.721138174868,99.62994555089982,31.00674340013488,70.1715660342194,40.50439992727652,24.383389726267968,72.66273602770755,38.348814534621965,1.4966706895316118,2.398606203704078,11.621002368227012,10.534521484375,10.65322611317286,21.18774759754786,0.942517895979862,6.2450045135165055e-15,1.2490009027033011e-14,13.706135349457082,32.61436860850852,13343.721138174868,11.621002368227012,boundary_stress,BOUNDARY_STRESS
SIM_04431,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,24.1842,2883.18,47.71,8.52,33.1,18.626,23.421,1,NONE,,PASS,87.35094246299663,21.12512662713603,3.0590733728639687,17.360921875135542,22673.745160315342,99.39785508101696,61.75250601048125,66.92840179157965,38.06329122006492,12.54366654363874,50.525093874927904,34.744479077344856,1.323505585970534,2.512346483408932,19.75745666910444,14.789939880208337,1.6845647765698666,16.4745046567782,0.7798535340193451,0.0,0.0,24.07324112419573,71.11743864407416,22673.745160315342,19.75745666910444,boundary_stress,BOUNDARY_STRESS
SIM_04432,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,22.7705,2829.71,28.88,9.15,20.2,16.738,23.417,1,NONE,,PASS,88.16467523586577,20.07553737458281,2.694962625417185,17.75194170625623,23776.779381452576,99.37265862204056,58.73500421130481,71.3187302266087,36.17213941366273,13.260602549555546,46.983881566408925,37.89534035610434,1.2977276885268083,2.3618901869387763,19.84590007388073,12.432653467881943,2.3258971103880617,14.758550578270004,0.7351509602405698,0.0,0.0,22.62861074034145,71.77627282494217,23776.779381452576,19.84590007388073,boundary_stress,BOUNDARY_STRESS
SIM_04433,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,37.755,1968.0,67.66,7.01,22.78,15.063,27.63,1,NONE,,PASS,79.03797374340881,29.840786986824,7.914213013175996,6.031544196195699,9365.663250538966,99.69351909572175,36.44798886525079,67.01595137226197,53.76718376004324,39.36964311398249,80.32976377475228,37.11006266340633,1.5617821056918868,1.6570887461825343,7.886044295225333,18.418344140625,10.844816059086318,29.263160199711315,0.9806430444556395,1.2490009027033011e-14,2.4980018054066022e-14,8.804988913312998,21.43844855687652,9365.663250538966,7.886044295225333,boundary_stress,BOUNDARY_STRESS
SIM_04435,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,27.0272,2438.08,81.86,6.76,34.47,11.038,21.975,1,NONE,,PASS,73.63041854737162,19.900240481635223,7.126959518364783,9.079917421778095,9220.451311168765,99.62757918436728,31.076239439974373,61.74094210999536,35.8562891560995,23.400535680067144,58.77234663671359,31.3023153975206,1.385542763640315,2.133998940052025,8.070462546280455,9.407670944444444,7.365239155781959,16.772910100226404,0.842849618611652,6.2450045135165055e-15,3.7470027081099033e-14,13.260521964517796,25.332105684581517,9220.451311168765,8.070462546280455,boundary_stress,BOUNDARY_STRESS
SIM_04436,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,21.6314,2544.89,49.77,8.25,29.11,13.856,20.993,1,NONE,,PASS,85.56819754068437,18.5095990828156,3.1218009171844026,14.361526132499838,17548.751156265356,99.4356720277694,50.41356065999542,70.89566693756821,33.350628978046124,20.244630475223023,47.18902603080348,36.13848589323034,1.299207223369211,2.1886754818743133,15.092409256679655,9.646064664930554,2.8256941238152917,12.471758788745843,0.6737995098081129,0.0,1.2490009027033011e-14,19.3788104373713,57.098859251708255,17548.751156265356,15.092409256679655,boundary_stress,BOUNDARY_STRESS
