simulation_id,sampling_method,random_seed,model_version,parameter_set,topology,timestamp,feed_flow_m3h,feed_tds_mgL,feed_cod_mgL,feed_pH,temperature_C,stage1_pressure_bar,stage2_pressure_bar,feasible,failure_reason,failure_message,quality_flag,overall_recovery_pct,permeate_flow_m3h,concentrate_flow_m3h,permeate_tds_mgL,concentrate_tds_mgL,overall_tds_rejection_pct,stage1_recovery_pct,stage2_recovery_pct,average_flux_LMH,minimum_flux_LMH,maximum_flux_LMH,maximum_element_recovery_pct,maximum_polarization_modulus,feed_osmotic_pressure_bar,final_concentrate_osmotic_pressure_bar,stage1_pump_power_kW,stage2_booster_power_kW,total_power_kW,SEC_kWh_m3,water_balance_error,solute_balance_error,flux_decline_stage1_pct,flux_decline_stage2_pct,max_element_concentrate_tds_mgL,max_element_osmotic_pressure_bar,dataset_split,operating_classification
SIM_01503,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,35.5203,1819.15,73.45,7.46,21.94,13.528,19.191,1,NONE,,PASS,65.99320049538582,23.44098279556253,12.079317204437473,5.589763706642581,5338.523949551702,99.69272661920992,34.472923027025345,48.10267590809886,42.2360050370496,35.06047147558704,53.93157838658372,22.20536052535505,1.3487857558955898,1.5274066701248856,4.482366538859752,15.434988695312502,4.940368324672869,20.375357019985373,0.8692194008112369,0.0,1.2490009027033011e-14,8.695589000269269,13.607569587753051,5338.523949551702,4.482366538859752,train,ENGINEERING_ACCEPTABLE
SIM_01505,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,39.3796,2579.55,73.65,6.63,33.44,15.639,26.818,1,NONE,,PASS,71.6293438963212,28.207349108995707,11.172250891004303,7.345630849856086,9073.771023869258,99.71523595782767,34.082706435611456,56.96022307717152,50.82405244864091,38.08329287169051,73.41602142993227,28.078608146312845,1.502945779073691,2.250264741298232,7.9154840982444785,19.998478635416667,10.481430307387113,30.479908942803775,1.0805662320491976,6.2450045135165055e-15,2.4980018054066022e-14,10.216850851217886,19.71477897378788,9073.771023869258,7.9154840982444785,val,ENGINEERING_ACCEPTABLE
SIM_01507,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,31.4394,2604.37,87.62,9.02,26.84,12.309,20.612,1,NONE,,PASS,65.73458173283774,20.66655808931379,10.772841910686212,8.647704474680943,7583.988753245389,99.66795407431812,30.939287830657157,50.38363030033561,37.23704160236719,27.31777700786123,54.13569937140057,23.18722439266617,1.3503158176379937,2.2230085941111293,6.473455068253223,12.330958421875,6.59887258024648,18.92983100212148,0.9159643768601058,0.0,2.4980018054066022e-14,11.966349589068694,18.82353752300677,7583.988753245389,6.473455068253223,train,ENGINEERING_ACCEPTABLE
SIM_01508,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,31.5219,2922.02,64.25,6.76,33.42,12.714,18.206,1,NONE,,PASS,59.15101317822283,18.645523223026224,12.876376776973771,9.9688495205504,7138.789848642607,99.6588370538001,30.676980777129504,41.07442624440601,33.59553733878599,26.98538979768322,44.26344096947143,17.281658109059418,1.2782659953710238,2.5488514070324,6.227101303283798,12.8065927578125,4.508478634593474,17.315071392405972,0.9286449720554254,0.0,4.9960036108132044e-14,12.996293717833016,17.87027420168191,7138.789848642607,6.227101303283798,val,ENGINEERING_ACCEPTABLE
SIM_01509,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,22.9144,2384.08,66.27,6.54,34.17,13.017,16.271,1,NONE,,PASS,74.81851828389104,17.14421455364393,5.770185446356072,11.153138961429145,9434.454308409991,99.53218268844044,45.162923617891536,54.07945977892277,30.890476673232307,24.25583513558168,36.50275347198147,23.726424080073286,1.224335908608507,2.084698858706507,8.249721540074578,9.5506503125,1.616074109756213,11.166724422256213,0.6513406833142305,0.0,1.2490009027033011e-14,16.70432918214682,33.5506699400093,9434.454308409991,8.249721540074578,train,ENGINEERING_ACCEPTABLE
SIM_01510,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,31.7272,2824.61,35.42,7.55,26.96,16.881,22.846,1,NONE,,PASS,77.38015063702831,24.550555152911247,7.176644847088746,10.227790378630193,12452.31864810321,99.6379043344522,44.64247059508303,59.13862196140109,44.23523450975,37.59194078643937,55.12228733076436,27.9341066823187,1.3577356408007708,2.411962985927037,10.633160566660154,17.480530479166667,3.912124060934856,21.392654540101525,0.8713715191717262,6.2450045135165055e-15,2.4980018054066022e-14,14.254734677115804,31.802647156372814,12452.31864810321,10.633160566660154,test,ENGINEERING_ACCEPTABLE
SIM_01512,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,33.7423,2973.52,54.89,7.89,29.01,13.255,15.597,1,NONE,,PASS,52.341683410793095,17.66128784152004,16.081012158479957,10.120744687890085,6228.131508381603,99.65963757809295,30.472942180161915,31.453569180646944,31.822140254991066,28.819355233605016,35.909355995106424,12.295210320722775,1.220307177246513,2.5564630229144503,5.354592504178875,14.342527813368056,2.274319422869273,16.61684723623733,0.9408627154115384,6.2450045135165055e-15,3.7470027081099033e-14,12.292804490053918,15.162728047727086,6228.131508381603,5.354592504178875,val,ENGINEERING_ACCEPTABLE
SIM_01513,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,25.8303,1858.59,58.2,9.23,29.86,14.057,16.75,1,NONE,,PASS,78.47914283626365,20.27139803203541,5.558901967964589,8.111497281571502,8606.646809511476,99.5635671513582,47.956776672415785,58.64810865331289,36.5250414991629,29.00744433672609,41.37306352465321,27.85755649947412,1.257908234356,1.6024047999744109,7.420319790403282,11.698749153645831,1.4670520766606394,13.165801230306473,0.649476726247505,3.1225022567582528e-15,6.2450045135165055e-15,13.060817508131024,29.888091754575413,8606.646809511476,7.420319790403282,train,ENGINEERING_ACCEPTABLE
SIM_01514,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,35.9728,2287.62,52.97,7.14,22.39,12.85,23.899,1,NONE,,PASS,68.59729873813882,24.6763690804732,11.296430919526806,6.798811410880199,7269.935729377848,99.70279979144787,30.20451287396101,55.00754768692543,44.46192627112288,30.924964357199297,67.46254750875657,26.948306792516732,1.4540603568366453,1.9236755868848163,6.113339575989818,14.784758347222224,10.024648924551332,24.809407271773555,1.0053913195602844,6.2450045135165055e-15,1.2490009027033011e-14,9.754915031935248,16.526621675144916,7269.935729377848,6.113339575989818,train,ENGINEERING_ACCEPTABLE
SIM_01517,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,39.0525,2730.86,37.14,9.42,34.49,15.067,15.134,1,NONE,,PASS,50.90987178195324,19.881577677647293,19.17092232235271,8.45364521973002,5554.184433878467,99.69044018295592,32.21050690570764,27.58445892232233,35.822662482247374,30.576119229896605,39.828871024489615,12.996008044269416,1.2471652340694286,2.3904183750620325,4.861774140463663,19.056738606770832,0.475235946380739,19.53197455315157,0.9824157252425304,6.2450045135165055e-15,2.4980018054066022e-14,10.553975162442422,12.990414009417764,5554.184433878467,4.861774140463663,train,ENGINEERING_ACCEPTABLE
