Topology,N_Stage1,N_Stage2,Total_Elements,P1_bar,P2_bar,Overall_Recovery_Pct,Permeate_Flow_m3_h,Permeate_TDS_mg_L,Concentrate_TDS_mg_L,Overall_Salt_Rejection_Pct,Average_Flux_LMH,System_SEC_kWh_m3,Max_Element_Recovery_Pct,Max_Polarization_Modulus,Feasible,Near_70_Pct_Target
Concentrate Staging (A),4,3,21,15.0,25.0,92.96109580594548,27.888328741783642,17.659397078050915,28762.767259619766,99.13476741410824,35.892314982990534,0.6882039503427272,54.351800274592854,1.3755031847869772,False,False
Concentrate Staging (A),4,4,24,15.0,25.0,93.27287936366389,27.98186380909917,24.685035613304436,29997.612137525273,98.79054210615853,31.511107893129697,0.685903488755848,61.107485141688386,1.3389169088532202,False,False
Concentrate Staging (A),5,1,18,15.0,25.0,86.12489978616384,25.837469935849153,9.69426112907888,14649.629883686353,99.5250239525194,38.79499990367741,0.696778988438579,37.74862618653304,1.3705326160760332,False,False
Concentrate Staging (A),5,2,21,15.0,25.0,92.27367281748917,27.682101845246752,14.910499267643615,26238.101064101244,99.26945128526978,35.62690070173327,0.6503482382355456,42.544107646940375,1.335811651740473,False,False
Concentrate Staging (A),5,3,24,15.0,25.0,93.08345877353811,27.925037632061432,21.769992137606298,29215.986317156407,98.93336638228288,31.447114450519628,0.6446904889769413,54.6619891024524,1.294953264809746,False,False
Concentrate Staging (A),6,1,21,15.0,25.0,89.94654394219046,26.98396318265714,12.71568480449229,20187.711263761958,99.37698751570346,34.72839534447508,0.6333451078154414,45.34022671311833,1.2971358289367052,False,False
Concentrate Staging (A),6,2,24,15.0,25.0,92.775956073129,27.832786821938697,18.89318298023707,28010.234839946155,99.0743173454073,31.34322840308412,0.6140298195988363,45.34022671311833,1.2602509992051918,False,False
Concentrate Staging (A),2,1,9,15.0,30.0,62.49467425954312,18.748402277862933,4.772797122296706,5433.94095571592,99.76615398714863,56.30150834193073,1.37277811662999,21.193783415546623,1.6496938275714126,True,False
Concentrate Staging (A),2,2,12,15.0,30.0,86.16029920426442,25.848089761279326,7.1889548893273725,14702.673164615506,99.64777291086098,58.21641838125974,0.9957175406973766,50.99212320437043,1.633012565315622,False,False
Concentrate Staging (A),3,1,12,15.0,30.0,74.32014585062414,22.29604375518724,5.956783823623366,7930.6249082562435,99.70814385969508,50.21631476393523,1.0525352806952193,26.041129492730562,1.6118835788710244,True,False
Concentrate Staging (A),3,2,15,15.0,30.0,91.36579247230075,27.409737741690225,9.848282082346193,23534.32011579205,99.51747760498058,49.3869148498923,0.8561691794870774,52.404666074033614,1.5863035517861257,False,False
Concentrate Staging (A),3,3,18,15.0,30.0,94.43867243591153,28.33160173077346,17.406547812340918,36404.284120979246,99.1471559131631,42.539942538698895,0.8283108344971865,64.96280330382687,1.549894112939233,False,False
Concentrate Staging (A),4,1,15,15.0,30.0,83.63212768978005,25.089638306934017,7.637793425780722,12430.524336257664,99.62578180177458,45.206555507989215,0.8531400816937768,31.120380665753363,1.5581879105126444,True,False
Concentrate Staging (A),4,2,18,15.0,30.0,93.56455202839197,28.06936560851759,13.273627430390638,31521.979493992436,99.34965078734,42.14619460738377,0.7625742730840238,52.82440432395804,1.5181738170665469,False,False
Concentrate Staging (A),4,3,21,15.0,30.0,94.36866041189279,28.310598123567836,21.53883985349239,35882.653740673784,98.94469182491463,36.43577622080803,0.7560764340413534,61.41849140459951,1.463398884083889,False,False
Concentrate Staging (A),5,1,18,15.0,30.0,89.59157485911487,26.87747245773446,10.086596317833035,19522.29306552299,99.50580125831293,40.356565251853546,0.7309399037079398,37.74862618653304,1.4839255915323437,False,False
Concentrate Staging (A),5,2,21,15.0,30.0,94.13302862000748,28.239908586002244,17.183853044733134,34512.25832804316,99.15806697478034,36.34479869498358,0.6956756630546294,51.264611634739786,1.4248116562255657,False,False
Concentrate Staging (A),6,1,21,15.0,30.0,92.41049156008071,27.723147468024212,13.34353222073512,26729.91528163995,99.34622576086551,35.679726471073636,0.6599612857438053,45.34022671311833,1.3927648104304526,False,False
