strategy_name,stage_index,element_index,global_element_id,r_f_m_inv,permeability_decline_pct,specific_cumulative_volume_l_m2,local_flux_lmh,local_polarization_modulus,local_feed_tds_mg_l,local_surface_tds_mg_l
Strategy B (Min Energy),1,2,Stage1_Vessel3_Elem2,99131706372544.77,47.45653277896117,4409.625052597711,20.040343415785646,1.1173495085542915,2208.5201704406804,2574.9543980677104
Strategy B (Min Energy),1,3,Stage1_Vessel1_Elem3,106891888898702.94,49.338589202231006,4233.061748445304,19.470974081380213,1.113821446531186,2400.5200239732853,2797.1185141589235
Strategy B (Min Energy),1,3,Stage1_Vessel2_Elem3,106891888898702.94,49.338589202231006,4233.061748445304,19.470974081380213,1.113821446531186,2400.5200239732853,2797.1185141589235
Strategy B (Min Energy),1,3,Stage1_Vessel3_Elem3,106891888898702.94,49.338589202231006,4233.061748445304,19.470974081380213,1.113821446531186,2400.5200239732853,2797.1185141589235
Strategy B (Min Energy),2,1,Stage2_Vessel1_Elem1,119469260583169.44,52.11831099713247,4217.202350707046,19.65840876763038,1.114981642225767,2622.0417571274293,3020.3678854431464
Strategy B (Min Energy),2,1,Stage2_Vessel2_Elem1,119469260583169.44,52.11831099713247,4217.202350707046,19.65840876763038,1.114981642225767,2622.0417571274293,3020.3678854431464
Strategy B (Min Energy),2,2,Stage2_Vessel1_Elem2,125165640110094.4,53.27933732544676,4037.148761329801,19.128166382403197,1.1117026350777877,2795.7476863180755,3215.13407852183
Strategy B (Min Energy),2,2,Stage2_Vessel2_Elem2,125165640110094.4,53.27933732544676,4037.148761329801,19.128166382403197,1.1117026350777877,2795.7476863180755,3215.13407852183
Strategy B (Min Energy),2,3,Stage2_Vessel1_Elem3,130477038902940.36,54.31229364324862,3833.7805523517236,18.5684345566022,1.108251728635811,2988.4143316065506,3430.65706482723
Strategy B (Min Energy),2,3,Stage2_Vessel2_Elem3,130477038902940.36,54.31229364324862,3833.7805523517236,18.5684345566022,1.108251728635811,2988.4143316065506,3430.65706482723
Strategy C (Min Stress),1,1,Stage1_Vessel1_Elem1,49355855666592.48,31.019250012075204,2830.6406510689435,13.029679118218217,1.0746760041572079,2041.0,2248.663845309113
Strategy C (Min Stress),1,1,Stage1_Vessel2_Elem1,49355855666592.48,31.019250012075204,2830.6406510689435,13.029679118218217,1.0746760041572079,2041.0,2248.663845309113
Strategy C (Min Stress),1,1,Stage1_Vessel3_Elem1,49355855666592.48,31.019250012075204,2830.6406510689435,13.029679118218217,1.0746760041572079,2041.0,2248.663845309113
Strategy C (Min Stress),1,2,Stage1_Vessel1_Elem2,50289058767407.09,31.4214638345897,2716.6601035884655,12.581821139992796,1.0720059913546072,2143.821912112164,2356.9535810225375
Strategy C (Min Stress),1,2,Stage1_Vessel2_Elem2,50289058767407.09,31.4214638345897,2716.6601035884655,12.581821139992796,1.0720059913546072,2143.821912112164,2356.9535810225375
Strategy C (Min Stress),1,2,Stage1_Vessel3_Elem2,50289058767407.09,31.4214638345897,2716.6601035884655,12.581821139992796,1.0720059913546072,2143.821912112164,2356.9535810225375
Strategy C (Min Stress),1,3,Stage1_Vessel1_Elem3,51121331423186.46,31.77623979534536,2597.490982968908,12.123458006524,1.0692802224137652,2253.454968857963,2472.024772901221
Strategy C (Min Stress),1,3,Stage1_Vessel2_Elem3,51121331423186.46,31.77623979534536,2597.490982968908,12.123458006524,1.0692802224137652,2253.454968857963,2472.024772901221
