simulation_id,sampling_method,random_seed,model_version,parameter_set,topology,timestamp,feed_flow_m3h,feed_tds_mgL,feed_cod_mgL,feed_pH,temperature_C,stage1_pressure_bar,stage2_pressure_bar,feasible,failure_reason,failure_message,quality_flag,overall_recovery_pct,permeate_flow_m3h,concentrate_flow_m3h,permeate_tds_mgL,concentrate_tds_mgL,overall_tds_rejection_pct,stage1_recovery_pct,stage2_recovery_pct,average_flux_LMH,minimum_flux_LMH,maximum_flux_LMH,maximum_element_recovery_pct,maximum_polarization_modulus,feed_osmotic_pressure_bar,final_concentrate_osmotic_pressure_bar,stage1_pump_power_kW,stage2_booster_power_kW,total_power_kW,SEC_kWh_m3,water_balance_error,solute_balance_error,flux_decline_stage1_pct,flux_decline_stage2_pct,max_element_concentrate_tds_mgL,max_element_osmotic_pressure_bar,dataset_split,ood_classification
SIM_00035,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,42.0778,3402.4,129.69,7.25,36.41,17.933,21.313,1,NONE,,PASS,56.00627491852769,23.566208347668248,18.51159165233176,9.541607810685631,7721.683250524629,99.7195624320866,32.60354210557248,34.72398037536955,42.46163666246532,38.78899880001018,47.72006744337541,14.03020646472666,1.303045018098754,2.996828480253285,6.801246261658527,24.720342241319443,3.771346044806331,28.491688286125772,1.2090060422870224,6.2450045135165055e-15,2.4980018054066022e-14,10.816383406391882,14.44819608111172,7721.683250524629,6.801246261658527,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00036,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,42.0948,3385.5,112.01,9.64,37.36,13.676,16.967,1,NONE,,PASS,41.28630354906938,17.379386906373657,24.71541309362636,10.54515008778973,5758.701123767277,99.68852015691066,22.74013208771129,24.004922558776716,31.31421064211469,27.17368683490959,37.12013234882786,9.031617108425957,1.2285415727198232,2.991094188454984,5.087820843110172,18.50819196875,4.224522545499354,22.732714514249352,1.3080274141265842,1.2490009027033011e-14,4.9960036108132044e-14,10.264688196914465,10.669105856441403,5758.701123767277,5.087820843110172,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00037,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,43.1192,3478.25,113.19,7.11,37.64,15.829,24.442,1,NONE,,PASS,54.85731638419119,23.654035966332167,19.46516403366784,9.370927302259767,7693.626259173916,99.73058499813816,26.877659914940143,38.26416993316077,42.61988462402192,32.87539292169152,58.14779625383128,16.053229405503775,1.3807447115824696,3.0758100379441924,6.803459462706292,22.18205859027778,9.922023888255886,32.10408247853367,1.3572348720627985,6.2450045135165055e-15,9.992007221626409e-14,10.341768293006927,13.492949171240252,7693.626259173916,6.803459462706292,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00038,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,42.3333,3273.21,118.54,7.13,37.44,17.679,21.501,1,NONE,,PASS,56.16539549445988,23.776665370856183,18.556634629143822,9.105903764717707,7455.515271557098,99.72180508538354,32.205776072657564,35.34168257089383,42.840838506047184,38.63017979925621,49.03763728350416,14.393366894238188,1.3126160143534709,2.8926308770128903,6.588655686175714,24.497090085937497,4.257097276011991,28.754187361949487,1.2093448308859327,6.2450045135165055e-15,0.0,10.469506902898498,14.020891171587968,7455.515271557098,6.588655686175714,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00039,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,42.6224,3304.51,119.02,7.06,37.66,16.679,19.541,1,NONE,,PASS,50.9902336502821,21.73326134735784,20.889138652642163,9.3965844161801,6732.777781688075,99.71564363805284,29.62094362281965,30.36313802353169,39.15902945469881,35.82236965690274,43.7134736938909,11.9279739304195,1.274367201552887,2.922360125489423,5.954166070911076,23.184439680555556,3.449682936410339,26.634122616965893,1.2255004985804334,6.2450045135165055e-15,9.992007221626409e-14,10.267971478572305,12.541467129649838,6732.777781688075,5.954166070911076,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00040,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,44.07,3398.59,139.86,7.69,36.93,14.65,27.341,1,NONE,,PASS,56.04791808613266,24.700317500558665,19.36968249944133,8.827561052347686,7721.232278513858,99.7402581349222,23.94633929917889,42.209117209011865,44.505076577583175,30.020553489585907,68.02869518833789,18.41732220246705,1.4586399029247137,2.998501084435732,6.812273136890292,20.86706848958333,15.293225803030008,36.16029429261334,1.4639607078652117,6.2450045135165055e-15,4.9960036108132044e-14,9.89622376751093,13.138530783801771,7721.232278513858,6.812273136890292,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00041,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,42.3935,3382.22,134.39,7.18,36.81,16.635,21.804,1,NONE,,PASS,54.01020015535111,22.89681420285877,19.496685797141225,9.406204047922053,7343.23633017429,99.7218926016663,29.46423287786609,34.79931994640854,41.25552108623203,35.40510666543288,50.151129699727,14.149452286702378,1.3207593480835995,2.982903372792129,6.47626837298774,22.9951617578125,5.834118036938389,28.82927979475089,1.259095677648964,0.0,2.4980018054066022e-14,10.441913755710694,13.414551378323916,7343.23633017429,6.47626837298774,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00042,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,44.264,3466.19,117.53,9.71,36.55,17.851,27.099,1,NONE,,PASS,60.9026809979927,26.95796271695149,17.306037283048518,9.039244316802996,8851.463338679137,99.73921671008216,30.74131957252268,43.54885371668726,48.57290579630899,38.58675427742914,64.98710456433126,19.016166597463734,1.4342048502194873,3.054395350818546,7.799880695980994,25.878686319444444,10.3232052440365,36.20189156348094,1.34290161105968,0.0,2.4980018054066022e-14,10.350260784735168,15.498703858729732,8851.463338679137,7.799880695980994,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00043,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,44.9352,3367.44,120.06,7.68,36.08,19.546,20.398,1,NONE,,PASS,54.9295870209326,24.682719787030106,20.2524802129699,9.1364992362561,7460.373971418909,99.72868115731072,34.2596788291126,31.44175115617401,44.47336898563983,38.73049270459214,48.68684964418029,14.087310425583258,1.3100610033347448,2.962873887402012,6.564080497401803,28.9157231875,1.3354787961115346,30.25120198361153,1.225602455670524,6.2450045135165055e-15,2.4980018054066022e-14,10.369748005525718,13.585426285452836,7460.373971418909,6.564080497401803,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00044,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,42.9805,3342.03,143.14,9.19,37.92,19.05,25.248,1,NONE,,PASS,62.60460486316778,26.907772193213827,16.072727806786165,9.02458496353179,8921.901164662135,99.7299669672764,34.60517281087182,42.815973763978135,48.48247242020509,42.06081297868042,58.91805044227327,18.455678152318576,1.3866645161204834,2.958013508037054,7.89672868359713,26.917657408854165,6.488037970755358,33.405695379609526,1.2414887096462963,6.2450045135165055e-15,0.0,10.760403292884394,16.565477475225567,8921.901164662135,7.89672868359713,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00045,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,43.3726,3202.64,143.9,9.68,37.53,14.119,16.344,1,NONE,,PASS,41.05525254909178,17.806730467107382,25.565869532892624,9.811661042621967,5426.457718634958,99.69363834078692,23.61631568261232,22.83070923106773,32.08419903983312,29.175282970865688,35.8729539101577,8.904675234315436,1.2200604658895984,2.8310862447838416,4.796908114907868,19.737168487847224,3.077140725237878,22.814309213085103,1.281218315469408,6.2450045135165055e-15,4.9960036108132044e-14,9.68483200731605,10.172904951586636,5426.457718634958,4.796908114907868,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00046,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,44.0342,3297.74,133.71,9.61,37.6,18.997,23.977,1,NONE,,PASS,59.93634701757045,26.392490918411003,17.641709081588985,8.802439271744747,8218.082711768775,99.73307661393122,33.8707838529284,39.41610786172355,47.55403769083064,42.278242681203125,55.76435898585571,16.578766910133382,1.362586347227708,2.915810053497005,7.266300008928943,27.49652931423611,5.490233650719491,32.9867629649556,1.249854099293998,6.2450045135165055e-15,4.9960036108132044e-14,10.37349119542336,15.037390510640344,8218.082711768775,7.266300008928943,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00047,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,43.2085,3388.31,124.82,6.33,36.75,12.341,16.037,1,NONE,,PASS,36.25319158830512,15.66446028743282,27.54403971256719,11.040916119531214,5308.983147311893,99.6741468130268,19.125678076242988,21.17793769969264,28.224252770149224,23.480145828755145,35.01112225696562,7.83076814815993,1.214234036732971,2.987695915941419,4.681279831841113,16.994968259548614,5.030563695708911,22.025531955257524,1.406083040915749,6.2450045135165055e-15,2.4980018054066022e-14,10.14876082767764,9.67493521480797,5308.983147311893,4.681279831841113,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00048,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,42.1393,3239.78,134.19,8.19,36.88,17.243,19.392,1,NONE,,PASS,52.74326608487085,22.225643125301985,19.91365687469801,9.244083250533428,6845.382870478945,99.71466941426476,31.46045177960884,31.05187422132756,40.04620382937294,37.5244851490152,43.155934081472594,12.623364123753175,1.2704268630097937,2.8579256089569616,6.038556633060607,23.746885561631935,2.606407677311404,26.353293238943344,1.1857156659256527,1.2490009027033011e-14,4.9960036108132044e-14,10.355384651038989,13.049072050731144,6845.382870478945,6.038556633060607,ood,OOD_ENGINEERING_ACCEPTABLE
